fecha,evaporación,radiación
2019-01-01,8.5,29.6
2019-01-02,7.7,27.1
2019-01-03,6.7,26.5
2019-01-04,9.4,29.3
2019-01-05,8.0,23.7
2019-01-06,7.9,20.9
2019-01-07,3.2,14.1
2019-01-08,3.9,19.3
2019-01-09,2.4,11.4
2019-01-10,4.8,26.5
2019-01-11,6.9,22.9
2019-01-12,10.2,30.4
2019-01-13,8.8,29.9
2019-01-14,5.4,22.0
2019-01-15,6.7,28.0
2019-01-16,6.8,29.8
2019-01-17,7.4,28.7
2019-01-18,8.5,23.5
2019-01-19,8.8,24.1
2019-01-20,9.5,28.4
2019-01-21,6.4,26.4
2019-01-22,6.8,27.6
2019-01-23,7.6,27.0
2019-01-24,7.4,29.2
2019-01-25,7.0,25.2
2019-01-26,7.5,24.9
2019-01-27,9.7,28.5
2019-01-28,8.6,28.6
2019-01-29,8.5,26.3
2019-01-30,7.8,25.1
2019-01-31,7.7,27.8
2019-02-01,9.7,22.6
2019-02-02,7.7,21.5
2019-02-03,6.5,16.3
2019-02-04,6.5,25.0
2019-02-05,6.1,23.8
2019-02-06,1.6,24.6
2019-02-07,4.9,20.4
2019-02-08,6.4,26.1
2019-02-09,8.4,28.7
2019-02-10,9.8,28.8
2019-02-11,6.7,22.8
2019-02-12,8.5,27.5
2019-02-13,8.3,26.3
2019-02-14,5.5,22.4
2019-02-15,6.8,16.5
2019-02-16,8.0,18.3
2019-02-17,8.6,26.8
2019-02-18,7.7,28.0
2019-02-19,8.4,28.0
2019-02-20,9.2,27.1
2019-02-21,8.2,26.6
2019-02-22,9.9,23.5
2019-02-23,9.0,25.9
2019-02-24,8.5,20.2
2019-02-25,5.9,20.4
2019-02-26,5.3,24.5
2019-02-27,7.0,24.5
2019-02-28,5.9,25.2
2019-03-01,5.8,18.9
2019-03-02,4.2,15.7
2019-03-03,5.6,20.7
2019-03-04,6.2,25.9
2019-03-05,5.0,19.4
2019-03-06,4.8,16.0
2019-03-07,5.6,21.0
2019-03-08,4.4,15.9
2019-03-09,5.6,23.3
2019-03-10,7.5,24.9
2019-03-11,5.7,23.8
2019-03-12,9.5,21.1
2019-03-13,8.6,23.5
2019-03-14,3.9,23.8
2019-03-15,13.2,21.9
2019-03-16,1.3,13.1
2019-03-17,2.9,18.3
2019-03-18,4.3,20.7
2019-03-19,5.1,23.0
2019-03-20,5.2,19.2
2019-03-21,4.5,22.7
2019-03-22,5.9,23.4
2019-03-23,6.2,23.0
2019-03-24,6.4,23.6
2019-03-25,7.7,23.0
2019-03-26,5.2,22.2
2019-03-27,3.4,14.1
2019-03-28,5.9,11.2
2019-03-29,4.1,16.8
2019-03-30,3.5,16.2
2019-03-31,6.3,22.6
2019-04-01,4.2,19.3
2019-04-02,13.9,19.2
2019-04-03,4.6,18.1
2019-04-04,13.4,17.8
2019-04-05,4.9,16.8
2019-04-06,4.8,20.9
2019-04-07,4.4,20.6
2019-04-08,4.8,20.5
2019-04-09,4.8,19.9
2019-04-10,4.8,19.4
2019-04-11,6.7,17.3
2019-04-12,4.7,18.1
2019-04-13,5.2,19.5
2019-04-14,6.8,18.7
2019-04-15,4.1,18.9
2019-04-16,4.0,17.9
2019-04-17,4.2,18.7
2019-04-18,4.7,18.4
2019-04-19,4.0,17.4
2019-04-20,4.1,18.8
2019-04-21,3.4,17.5
2019-04-22,2.8,15.6
2019-04-23,3.0,13.5
2019-04-24,4.5,17.5
2019-04-25,3.6,11.1
2019-04-26,3.3,7.2
2019-04-27,4.5,18.7
2019-04-28,4.0,16.9
2019-04-29,2.8,17.2
2019-04-30,3.0,13.4
2019-05-01,6.4,13.3
2019-05-02,3.3,13.5
2019-05-03,2.7,16.0
2019-05-04,1.8,5.9
2019-05-05,4.0,17.8
2019-05-06,4.1,17.7
2019-05-07,3.6,17.5
2019-05-08,4.0,17.3
2019-05-09,4.0,17.0
2019-05-10,5.8,13.2
2019-05-11,5.5,17.1
2019-05-12,3.7,15.6
2019-05-13,2.9,13.7
2019-05-14,3.7,14.2
2019-05-15,2.6,12.5
2019-05-16,3.1,16.1
2019-05-17,2.6,14.6
2019-05-18,4.4,16.4
2019-05-19,3.5,15.6
2019-05-20,2.7,13.3
2019-05-21,2.9,15.9
2019-05-22,3.4,15.4
2019-05-23,2.7,14.7
2019-05-24,3.7,14.0
2019-05-25,2.9,13.3
2019-05-26,2.8,14.9
2019-05-27,4.6,15.2
2019-05-28,4.6,15.7
2019-05-29,3.9,15.7
2019-05-30,4.4,15.6
2019-05-31,3.4,12.1
2019-06-01,1.5,13.9
2019-06-02,2.2,9.5
2019-06-03,4.6,15.2
2019-06-04,3.6,15.4
2019-06-05,3.9,14.3
2019-06-06,3.8,12.5
2019-06-07,2.5,11.0
2019-06-08,1.4,6.7
2019-06-09,3.1,14.9
2019-06-10,3.6,14.7
2019-06-11,5.9,13.3
2019-06-12,3.1,15.0
2019-06-13,1.3,13.3
2019-06-14,2.1,13.6
2019-06-15,2.2,14.1
2019-06-16,2.1,14.5
2019-06-17,3.8,12.8
2019-06-18,6.8,15.0
2019-06-19,3.8,15.0
2019-06-20,3.8,9.0
2019-06-21,4.3,14.7
2019-06-22,3.0,13.6
2019-06-23,2.0,13.0
2019-06-24,3.2,12.9
2019-06-25,5.3,13.0
2019-06-26,1.2,7.7
2019-06-27,2.6,15.1
2019-06-28,4.3,15.1
2019-06-29,1.7,13.6
2019-06-30,3.0,14.5
2019-07-01,2.8,12.7
2019-07-02,3.6,12.5
2019-07-03,3.3,12.3
2019-07-04,4.3,12.6
2019-07-05,2.2,5.6
2019-07-06,1.8,12.2
2019-07-07,2.5,13.3
2019-07-08,2.5,14.6
2019-07-09,2.5,14.0
2019-07-10,3.8,11.0
2019-07-11,3.8,14.7
2019-07-12,4.2,15.6
2019-07-13,4.7,15.6
2019-07-14,4.7,15.6
2019-07-15,4.9,15.6
2019-07-16,3.5,15.7
2019-07-17,3.9,15.8
2019-07-18,4.0,15.8
2019-07-19,4.0,15.2
2019-07-20,2.9,15.4
2019-07-21,2.9,14.4
2019-07-22,3.1,13.5
2019-07-23,3.0,15.8
2019-07-24,2.8,16.1
2019-07-25,2.9,16.2
2019-07-26,3.0,14.8
2019-07-27,3.5,15.4
2019-07-28,3.3,16.5
2019-07-29,1.8,14.7
2019-07-30,2.7,15.4
2019-07-31,3.7,12.3
2019-08-01,2.9,14.0
2019-08-02,3.6,15.6
2019-08-03,3.8,14.5
2019-08-04,3.8,16.5
2019-08-05,4.1,17.3
2019-08-06,3.4,16.2
2019-08-07,2.5,9.5
2019-08-08,6.7,15.1
2019-08-09,5.6,17.9
2019-08-10,7.6,17.9
2019-08-11,6.0,18.0
2019-08-12,5.1,18.1
2019-08-13,3.5,17.1
2019-08-14,3.7,15.6
2019-08-15,3.9,17.3
2019-08-16,4.4,14.7
2019-08-17,4.7,18.5
2019-08-18,5.4,18.7
2019-08-19,7.0,18.9
2019-08-20,4.2,18.9
2019-08-21,5.6,19.1
2019-08-22,7.8,19.2
2019-08-23,4.7,17.9
2019-08-24,4.2,14.0
2019-08-25,4.9,17.3
2019-08-26,3.5,19.1
2019-08-27,4.0,18.9
2019-08-28,1.7,18.8
2019-08-29,2.6,18.0
2019-08-30,4.3,19.3
2019-08-31,6.1,18.0
2019-09-01,4.4,20.7
2019-09-02,3.2,20.8
2019-09-03,7.9,20.9
2019-09-04,7.9,21.0
2019-09-05,8.1,21.1
2019-09-06,10.9,21.2
2019-09-07,7.6,20.8
2019-09-08,8.1,21.4
2019-09-09,8.4,21.5
2019-09-10,7.9,21.5
2019-09-11,5.2,19.8
2019-09-12,4.2,21.8
2019-09-13,7.6,21.9
2019-09-14,6.5,22.0
2019-09-15,4.4,20.5
2019-09-16,4.1,22.3
2019-09-17,5.5,22.5
2019-09-18,4.7,20.4
2019-09-19,4.7,21.5
2019-09-20,5.4,21.6
2019-09-21,5.3,21.8
2019-09-22,6.1,23.0
2019-09-23,5.5,21.1
2019-09-24,6.9,22.8
2019-09-25,5.7,20.1
2019-09-26,4.3,21.7
2019-09-27,6.5,23.5
2019-09-28,5.3,17.6
2019-09-29,6.6,23.5
2019-09-30,4.8,23.8
2019-10-01,5.4,15.1
2019-10-02,4.4,19.9
2019-10-03,13.2,25.2
2019-10-04,6.3,25.4
2019-10-05,6.7,25.6
2019-10-06,6.4,24.8
2019-10-07,7.2,25.8
2019-10-08,11.2,25.5
2019-10-09,7.6,24.9
2019-10-10,5.5,20.3
2019-10-11,6.8,17.2
2019-10-12,6.8,21.0
2019-10-13,5.5,26.4
2019-10-14,5.2,24.2
2019-10-15,4.6,16.0
2019-10-16,6.5,14.7
2019-10-17,6.9,25.9
2019-10-18,6.9,25.2
2019-10-19,4.2,23.7
2019-10-20,8.4,27.0
2019-10-21,6.9,26.5
2019-10-22,6.1,27.4
2019-10-23,6.1,25.4
2019-10-24,6.8,26.9
2019-10-25,7.7,25.4
2019-10-26,7.9,27.9
2019-10-27,7.9,28.2
2019-10-28,7.1,28.1
2019-10-29,6.5,24.6
2019-10-30,3.4,24.5
2019-10-31,11.6,21.1
2019-11-01,5.1,18.9
2019-11-02,5.2,15.6
2019-11-03,6.0,20.9
2019-11-04,2.2,24.4
2019-11-05,10.0,26.6
2019-11-06,7.7,29.2
2019-11-07,8.1,29.3
2019-11-08,9.2,29.4
2019-11-09,10.2,29.2
2019-11-10,8.9,29.0
2019-11-11,6.8,29.6
2019-11-12,8.9,28.7
2019-11-13,8.7,29.4
2019-11-14,6.5,24.4
2019-11-15,8.6,27.2
2019-11-16,9.3,29.2
2019-11-17,7.6,29.7
2019-11-18,8.0,19.5
2019-11-19,3.8,28.4
2019-11-20,7.0,28.7
2019-11-21,8.3,27.8
2019-11-22,8.7,27.6
2019-11-23,7.9,27.1
2019-11-24,9.8,27.1
2019-11-25,7.6,27.7
2019-11-26,8.2,30.2
2019-11-27,4.8,29.4
2019-11-28,7.6,29.3
2019-11-29,10.0,29.5
2019-11-30,9.1,28.3
2019-12-01,8.9,29.8
2019-12-02,14.4,29.5
2019-12-03,9.1,30.0
2019-12-04,10.1,30.6
2019-12-05,10.0,30.3
2019-12-06,11.2,30.6
2019-12-07,10.0,25.0
2019-12-08,10.8,30.8
2019-12-09,8.3,30.1
2019-12-10,7.5,27.1
2019-12-11,8.0,28.2
2019-12-12,8.2,29.3
2019-12-13,9.2,30.0
2019-12-14,8.5,29.8
2019-12-15,8.9,30.0
2019-12-16,11.6,30.2
2019-12-17,8.5,28.7
2019-12-18,8.9,24.8
2019-12-19,6.7,27.3
2019-12-20,9.9,30.3
2019-12-21,9.4,29.3
2019-12-22,9.5,30.7
2019-12-23,7.1,28.4
2019-12-24,7.5,29.1
2019-12-25,6.8,23.6
2019-12-26,7.0,27.4
2019-12-27,7.5,28.8
2019-12-28,7.5,25.3
2019-12-29,7.7,29.1
2019-12-30,8.2,25.3
2019-12-31,7.3,21.6
