fecha,t_min,t_max,hr_t_min,hr_t_max
2021-01-01,22.0,29.8,100.0,65.8
2021-01-02,20.9,29.4,90.3,54.4
2021-01-03,20.7,30.7,98.8,54.6
2021-01-04,22.3,30.6,95.1,58.3
2021-01-05,23.1,32.0,89.5,53.2
2021-01-06,23.0,33.3,90.8,49.8
2021-01-07,24.1,31.0,90.6,60.5
2021-01-08,22.6,27.0,87.9,67.6
2021-01-09,20.3,25.8,95.8,68.7
2021-01-10,19.9,28.3,100.0,62.1
2021-01-11,21.2,28.4,95.4,62.0
2021-01-12,19.5,29.4,90.5,50.0
2021-01-13,20.3,29.6,98.7,56.7
2021-01-14,19.7,31.0,93.7,47.9
2021-01-15,19.1,32.1,92.8,42.9
2021-01-16,21.4,32.3,89.1,46.9
2021-01-17,22.7,32.1,91.4,52.7
2021-01-18,23.1,31.6,89.2,54.2
2021-01-19,21.2,32.3,92.2,48.0
2021-01-20,21.7,30.7,91.3,53.7
2021-01-21,20.5,28.8,74.3,45.2
2021-01-22,18.2,30.1,91.9,45.0
2021-01-23,19.2,30.3,83.2,42.9
2021-01-24,20.2,30.7,84.9,45.5
2021-01-25,20.8,31.1,86.7,47.1
2021-01-26,20.1,32.0,94.8,46.9
2021-01-27,20.6,32.2,100.0,52.0
2021-01-28,22.2,31.9,82.2,46.5
2021-01-29,21.4,31.1,88.3,49.8
2021-01-30,21.1,29.8,100.0,63.9
2021-01-31,19.9,31.7,99.5,49.4
2021-02-01,21.2,30.2,85.0,49.9
2021-02-02,19.3,32.9,97.9,43.8
2021-02-03,21.5,30.2,98.3,58.7
2021-02-04,20.7,30.6,91.0,50.6
2021-02-05,20.0,31.5,90.3,45.7
2021-02-06,20.1,31.6,88.9,45.0
2021-02-07,23.0,34.3,78.3,40.7
2021-02-08,25.3,29.4,90.6,71.2
2021-02-09,21.4,29.1,82.4,52.1
2021-02-10,19.3,29.8,79.1,42.2
2021-02-11,19.3,29.8,85.8,45.8
2021-02-12,19.4,30.6,83.9,43.0
2021-02-13,19.6,31.3,88.2,44.0
2021-02-14,24.3,30.0,81.3,58.2
2021-02-15,20.5,28.9,89.2,54.0
2021-02-16,19.5,30.6,86.5,44.6
2021-02-17,20.3,31.2,85.3,44.7
2021-02-18,20.4,30.3,91.8,51.0
2021-02-19,21.4,28.8,95.4,61.4
2021-02-20,22.4,28.3,94.5,66.6
2021-02-21,18.7,33.7,100.0,49.7
2021-02-22,21.7,38.3,100.0,40.2
2021-02-23,22.8,34.3,99.8,51.2
2021-02-24,23.7,32.2,89.4,54.5
2021-02-25,22.2,32.2,94.2,52.4
2021-02-26,21.7,32.6,89.0,47.0
2021-02-27,21.9,32.4,98.6,53.3
2021-02-28,23.3,32.4,92.7,54.5
2021-03-01,23.1,33.0,88.1,49.5
2021-03-02,23.6,33.0,89.6,51.9
2021-03-03,22.9,32.8,86.7,48.7
2021-03-04,22.8,29.8,80.0,52.9
2021-03-05,18.6,31.0,88.7,42.3
2021-03-06,18.8,31.7,95.4,44.3
2021-03-07,23.5,30.3,69.8,46.8
2021-03-08,22.2,31.1,72.9,43.2
2021-03-09,20.7,31.8,81.5,42.3
2021-03-10,20.7,32.8,97.1,47.6
2021-03-11,23.0,29.0,84.4,59.2
2021-03-12,21.3,29.8,100.0,62.9
2021-03-13,21.2,30.4,100.0,59.7
2021-03-14,21.0,31.3,99.4,54.1
2021-03-15,22.9,32.4,91.0,52.2
2021-03-16,21.6,24.8,100.0,83.4
2021-03-17,19.8,23.1,93.1,76.1
2021-03-18,20.0,27.1,99.7,65.0
2021-03-19,21.3,30.2,97.2,57.3
2021-03-20,22.5,30.4,100.0,63.8
2021-03-21,22.7,30.0,100.0,69.3
2021-03-22,23.5,28.2,89.1,67.5
2021-03-23,24.2,27.6,90.4,73.9
2021-03-24,22.1,31.2,100.0,63.6
2021-03-25,20.4,31.6,78.1,40.2
2021-03-26,18.3,30.1,79.0,38.9
2021-03-27,18.7,30.7,100.0,51.6
2021-03-28,18.6,30.8,100.0,53.4
2021-03-29,20.1,29.0,96.1,56.4
2021-03-30,19.4,29.3,95.5,52.8
2021-03-31,18.5,26.7,92.1,56.0
2021-04-01,17.5,27.8,92.6,49.5
2021-04-02,18.6,27.6,98.5,57.1
2021-04-03,19.1,27.4,100.0,63.0
2021-04-04,21.2,23.3,98.9,87.1
2021-04-05,21.7,24.6,100.0,88.3
2021-04-06,21.9,27.7,99.4,70.3
2021-04-07,20.7,27.4,93.8,62.8
2021-04-08,19.5,29.6,96.7,52.8
2021-04-09,19.6,30.8,100.0,54.5
2021-04-10,18.4,32.3,91.2,39.9
2021-04-11,18.5,32.2,95.4,42.2
2021-04-12,15.3,26.7,44.9,22.3
2021-04-13,15.4,26.0,90.4,47.0
2021-04-14,14.4,26.8,95.2,44.3
2021-04-15,15.0,27.5,100.0,50.4
2021-04-16,15.9,28.8,100.0,51.5
2021-04-17,18.3,28.0,100.0,59.0
2021-04-18,16.4,26.7,86.9,46.3
2021-04-19,15.5,26.7,97.7,49.1
2021-04-20,14.8,27.7,100.0,51.7
2021-04-21,17.7,30.4,94.4,44.0
2021-04-22,16.8,25.0,82.1,49.6
2021-04-23,16.6,25.9,66.7,37.7
2021-04-24,14.3,26.6,87.2,40.8
2021-04-25,14.6,26.7,100.0,48.0
2021-04-26,14.8,26.9,100.0,47.7
2021-04-27,15.4,26.6,97.8,49.1
2021-04-28,15.3,26.8,96.1,47.4
2021-04-29,16.7,26.6,92.1,50.3
2021-04-30,16.8,25.2,99.9,59.6
2021-05-01,17.3,26.5,97.3,55.5
2021-05-02,17.5,25.8,100.0,60.8
2021-05-03,17.9,27.3,98.5,55.7
2021-05-04,16.7,27.3,100.0,56.5
2021-05-05,15.8,27.1,100.0,59.7
2021-05-06,12.6,24.1,82.3,40.0
2021-05-07,12.5,26.7,95.3,39.4
2021-05-08,13.9,28.0,98.9,41.5
2021-05-09,14.8,26.2,100.0,59.4
2021-05-10,14.8,29.0,100.0,52.4
2021-05-11,17.4,28.6,100.0,65.2
2021-05-12,18.0,29.4,100.0,62.7
2021-05-13,17.9,27.9,100.0,55.1
2021-05-14,12.3,25.3,75.5,33.5
2021-05-15,12.0,24.7,78.5,35.4
2021-05-16,10.4,22.4,64.3,29.9
2021-05-17,9.9,24.9,85.3,33.0
2021-05-18,11.2,25.2,99.3,41.2
2021-05-19,14.4,24.2,100.0,55.3
2021-05-20,14.1,25.4,98.3,48.7
2021-05-21,14.6,25.4,84.9,43.5
2021-05-22,14.1,25.0,94.5,48.0
2021-05-23,14.4,25.9,98.8,48.5
2021-05-24,13.6,25.1,100.0,52.7
2021-05-25,14.5,25.7,100.0,50.0
2021-05-26,11.9,26.4,100.0,49.1
2021-05-27,12.1,27.9,100.0,38.1
2021-05-28,10.4,24.2,62.7,26.2
2021-05-29,11.3,22.1,65.8,33.1
2021-05-30,12.2,23.2,66.9,33.4
2021-05-31,11.1,23.9,92.4,41.1
2021-06-01,12.8,25.0,100.0,48.6
2021-06-02,12.8,24.7,100.0,55.0
