fecha,t_min,t_max,hr_t_min,hr_t_max
2020-01-01,21.6,32.0,100.0,54.3
2020-01-02,22.1,32.7,94.8,50.9
2020-01-03,21.4,31.5,81.6,45.0
2020-01-04,20.2,31.9,90.0,45.1
2020-01-05,20.2,32.3,84.9,41.6
2020-01-06,23.2,30.1,78.5,52.3
2020-01-07,21.3,32.4,84.1,43.8
2020-01-08,20.2,33.2,86.6,40.3
2020-01-09,21.5,32.7,87.4,45.3
2020-01-10,21.1,32.4,84.4,43.4
2020-01-11,22.3,32.6,89.2,48.8
2020-01-12,23.5,32.3,91.2,54.6
2020-01-13,22.3,30.8,93.3,56.5
2020-01-14,20.9,32.8,95.1,47.2
2020-01-15,21.9,32.6,91.4,48.8
2020-01-16,22.7,31.0,90.3,55.4
2020-01-17,23.2,31.9,78.5,47.2
2020-01-18,21.6,32.2,98.5,52.8
2020-01-19,21.0,31.1,100.0,59.5
2020-01-20,25.2,32.7,87.7,56.8
2020-01-21,26.4,32.9,88.6,61.0
2020-01-22,25.0,33.5,88.4,54.1
2020-01-23,26.5,29.7,88.1,73.1
2020-01-24,25.1,31.4,96.4,66.8
2020-01-25,24.8,31.4,84.7,57.7
2020-01-26,23.9,31.7,86.0,54.5
2020-01-27,22.9,30.1,92.8,60.7
2020-01-28,23.3,31.2,100.0,63.8
2020-01-29,23.0,32.6,89.7,51.2
2020-01-30,23.0,33.0,89.7,50.1
2020-01-31,23.1,33.0,85.3,47.9
2020-02-01,23.5,31.5,90.5,56.7
2020-02-02,22.3,32.8,97.0,52.5
2020-02-03,23.5,34.0,85.0,46.2
2020-02-04,25.2,34.1,85.5,51.2
2020-02-05,23.1,30.3,100.0,66.5
2020-02-06,21.7,29.0,100.0,67.7
2020-02-07,22.8,31.1,100.0,62.0
2020-02-08,23.1,29.7,100.0,67.9
2020-02-09,23.1,32.3,100.0,61.0
2020-02-10,22.2,32.3,100.0,61.0
2020-02-11,22.9,31.5,100.0,60.8
2020-02-12,22.8,31.0,100.0,62.3
2020-02-13,21.5,31.5,96.8,53.7
2020-02-14,23.0,31.2,96.5,59.6
2020-02-15,22.9,32.1,100.0,59.8
2020-02-16,24.2,32.9,99.4,60.0
2020-02-17,24.3,32.5,96.5,59.9
2020-02-18,23.9,32.1,100.0,65.0
2020-02-19,23.5,32.6,97.8,57.5
2020-02-20,25.6,34.8,84.4,49.8
2020-02-21,24.0,32.3,97.6,60.2
2020-02-22,24.9,30.5,75.3,54.3
