fecha,evaporación,radiación
2021-01-01,4.9,26.0
2021-01-02,7.9,22.9
2021-01-03,7.5,29.8
2021-01-04,3.9,22.6
2021-01-05,5.2,29.5
2021-01-06,5.0,29.1
2021-01-07,5.0,18.8
2021-01-08,4.4,11.5
2021-01-09,1.5,6.5
2021-01-10,5.5,22.8
2021-01-11,6.9,15.4
2021-01-12,6.1,24.3
2021-01-13,5.8,28.0
2021-01-14,12.1,30.3
2021-01-15,7.6,30.4
2021-01-16,6.6,30.6
2021-01-17,6.6,27.1
2021-01-18,7.5,23.4
2021-01-19,6.6,28.9
2021-01-20,5.5,21.3
2021-01-21,5.1,22.5
2021-01-22,5.9,27.9
2021-01-23,4.8,29.4
2021-01-24,5.2,27.5
2021-01-25,6.8,29.5
2021-01-26,8.6,26.8
2021-01-27,6.4,27.3
2021-01-28,7.6,25.2
2021-01-29,9.4,27.7
2021-01-30,3.9,12.7
2021-01-31,7.5,29.7
2021-02-01,7.7,22.9
2021-02-02,4.8,27.8
2021-02-03,7.6,24.7
2021-02-04,7.1,29.0
2021-02-05,6.5,27.9
2021-02-06,6.4,28.8
2021-02-07,7.7,28.5
2021-02-08,6.3,13.3
2021-02-09,6.4,20.4
2021-02-10,5.6,26.0
2021-02-11,8.2,27.8
2021-02-12,6.6,25.6
2021-02-13,6.9,28.2
2021-02-14,5.4,9.3
2021-02-15,6.7,14.6
2021-02-16,6.9,22.7
2021-02-17,8.7,25.3
2021-02-18,5.8,22.8
2021-02-19,3.1,12.7
2021-02-20,5.6,8.1
2021-02-21,6.5,23.4
2021-02-22,8.6,27.6
2021-02-23,7.4,27.5
2021-02-24,5.7,24.1
2021-02-25,5.1,25.4
2021-02-26,7.4,25.0
2021-02-27,6.1,21.1
2021-02-28,3.6,22.3
2021-03-01,4.2,19.7
2021-03-02,6.9,20.4
2021-03-03,9.7,25.2
2021-03-04,3.8,16.4
2021-03-05,6.9,23.0
2021-03-06,7.0,23.2
2021-03-07,7.5,18.3
2021-03-08,4.7,25.0
2021-03-09,4.7,25.4
2021-03-10,6.3,24.8
2021-03-11,3.1,9.2
2021-03-12,4.0,17.9
2021-03-13,6.3,15.4
2021-03-14,6.7,23.6
2021-03-15,4.1,21.1
2021-03-16,4.1,9.0
2021-03-17,1.3,5.9
2021-03-18,2.0,10.5
2021-03-19,4.1,21.6
2021-03-20,4.4,20.1
2021-03-21,2.1,15.7
2021-03-22,3.9,13.0
2021-03-23,2.1,9.0
2021-03-24,5.0,17.1
2021-03-25,6.3,23.4
2021-03-26,5.0,23.3
2021-03-27,6.2,22.3
2021-03-28,4.9,20.2
2021-03-29,5.3,19.0
2021-03-30,4.6,19.7
2021-03-31,5.7,14.2
2021-04-01,3.9,17.2
2021-04-02,5.3,17.0
2021-04-03,2.0,17.2
2021-04-04,1.0,3.7
2021-04-05,1.3,7.2
2021-04-06,1.8,13.3
2021-04-07,3.3,17.0
2021-04-08,2.8,20.4
2021-04-09,6.3,20.6
2021-04-10,4.2,21.0
2021-04-11,5.8,19.4
2021-04-12,4.6,20.7
2021-04-13,4.7,20.2
2021-04-14,3.8,20.4
2021-04-15,4.6,20.3
2021-04-16,4.0,19.9
2021-04-17,3.6,18.6
2021-04-18,3.8,17.2
2021-04-19,4.2,19.3
2021-04-20,4.3,19.4
2021-04-21,4.3,18.2
2021-04-22,2.3,9.2
2021-04-23,4.0,18.5
2021-04-24,4.1,19.0
2021-04-25,3.7,18.0
2021-04-26,3.8,15.9
2021-04-27,3.9,16.2
2021-04-28,3.2,16.6
2021-04-29,3.4,14.6
2021-04-30,3.0,13.4
2021-05-01,3.0,16.6
2021-05-02,3.2,12.1
2021-05-03,3.4,15.1
2021-05-04,3.4,14.5
2021-05-05,3.5,13.5
2021-05-06,3.1,17.1
2021-05-07,3.6,17.3
2021-05-08,3.4,16.8
2021-05-09,3.0,14.3
2021-05-10,3.7,16.5
2021-05-11,3.5,13.6
2021-05-12,3.1,15.0
2021-05-13,4.1,16.3
2021-05-14,3.9,16.8
2021-05-15,5.0,16.7
2021-05-16,4.0,16.6
2021-05-17,3.2,16.5
2021-05-18,3.8,16.4
2021-05-19,8.2,13.8
2021-05-20,3.2,14.9
2021-05-21,3.6,15.4
2021-05-22,2.8,13.9
2021-05-23,6.1,15.4
2021-05-24,2.9,11.5
2021-05-25,2.5,15.0
2021-05-26,3.0,15.4
2021-05-27,3.5,15.7
2021-05-28,3.1,15.7
2021-05-29,2.3,13.9
2021-05-30,2.7,14.0
2021-05-31,3.1,14.6
2021-06-01,3.6,14.2
2021-06-02,1.9,13.0
2021-06-03,2.9,12.9
2021-06-04,2.7,10.7
2021-06-05,3.0,15.3
2021-06-06,3.2,15.0
2021-06-07,2.8,14.7
2021-06-08,1.3,12.7
2021-06-09,3.8,10.7
2021-06-10,3.9,15.1
2021-06-11,2.7,11.5
2021-06-12,2.4,15.0
2021-06-13,2.3,15.0
2021-06-14,2.2,8.5
2021-06-15,3.8,14.2
2021-06-16,1.4,6.8
2021-06-17,4.8,12.3
2021-06-18,4.7,15.0
2021-06-19,3.4,15.0
2021-06-20,2.6,14.1
2021-06-21,2.5,13.3
2021-06-22,3.5,13.8
2021-06-23,3.7,12.7
2021-06-24,2.1,11.9
2021-06-25,1.0,8.2
2021-06-26,2.3,6.2
2021-06-27,2.6,7.1
2021-06-28,3.2,13.2
2021-06-29,3.3,14.6
2021-06-30,3.0,14.5
2021-07-01,1.7,13.9
2021-07-02,2.3,8.0
2021-07-03,0.6,6.7
2021-07-04,4.0,15.3
2021-07-05,2.7,15.3
2021-07-06,2.3,13.2
2021-07-07,3.7,15.2
2021-07-08,4.2,15.4
2021-07-09,2.6,9.4
2021-07-10,2.9,15.5
2021-07-11,2.4,15.0
2021-07-12,1.7,13.6
2021-07-13,3.8,15.4
2021-07-14,2.5,11.9
2021-07-15,3.4,15.2
2021-07-16,3.7,15.8
2021-07-17,7.7,16.0
2021-07-18,4.4,16.0
2021-07-19,3.1,16.1
2021-07-20,4.5,16.2
2021-07-21,3.3,16.0
2021-07-22,2.0,16.3
2021-07-23,2.9,13.1
2021-07-24,4.3,14.8
2021-07-25,4.5,16.6
2021-07-26,2.7,15.9
2021-07-27,3.0,16.7
2021-07-28,3.6,16.8
2021-07-29,3.9,15.0
2021-07-30,3.3,16.3
2021-07-31,3.2,16.7
2021-08-01,3.7,17.1
2021-08-02,3.8,17.1
2021-08-03,3.8,17.3
